text,label
Talebinizi üst birime acil koduyla iletiyorum.,1
"İyi gunler Mehmet efendim, fatura servisinden arıyorum. kaydınızı olusturuyorum.",1
dünden beri modem hata veriyor. çünkü artık sabrım kalmadı.,0
"sabahdan beri sorun yaşıyordum. sistemi kontrol ediyorum, çünkü teşekkür ederim.",2
"İyi çalışmalar Mehmet , müşteri hizmetlerinden arıyorum. işlemi başlatıyorum.",1
iki gundur fiber hat calişmiyor. ama gercekten mağdur oldum.,0
sabahdan beri wifi calısmıyor. ama kimse ilgilenmedi.,0
"bir saattir sorun yaşıyordum. işlemi başlatıyorum, ama sorunum çözüldü.",2
Mevcut kampanyanızı bir üst pakete taşıyabiliriz.,1
"iki gündür sorun yaşıyordum. sistemi kontrol ediyorum, ancak sorunum çözüldü.",2
"İyi aksamlar Burcu Hanim, musteri hizmetlerinden ariyorum. islemi baslatiyorum.",1
"bir saattir sorun yaşıyordum. sistemi kontrol ediyorum, bu yüzden gerçekten yardımcı oldunuz.",2
"bir saattir sorun yaşıyordum. kaydınızı oluşturuyorum, ancak çok memnun kaldım.",2
bir saattir fiber hat çalışmıyor. ancak gerçekten mağdur oldum.,0
"İyi akşamlar Ayşe Hanim, fatura servisinden ariyorum. sistemi kontrol ediyorum.",1
iki gündür internetim çalışmıyor. ama böyle hizmet olmaz.,0
Talebinizi üst birime acil koduyla iletiyorum.,1
"iki gündür sorun yaşıyordum. işlemi başlatıyorum, çünkü gerçekten yardımcı oldunuz.",2
iki gündür fiber hat hata veriyor. ancak artık sabrım kalmadı.,0
"sabahdan beri sorun yaşıyordum. kaydınızı oluşturuyorum, ama sorunum çözüldü.",2
"iki gündür sorun yaşıyordum. işlemi başlatıyorum, fakat teşekkür ederim.",2
iki gündür bağlantim hata veriyor. fakat kimse ilgilenmedi.,0
sabahdan beri bağlantım çok yavaş. bu yüzden böyle hizmet olmaz.,0
"İyi çalişmalar Zeynep efendim, fatura servisinden ariyorum. işlemi başlatiyorum.",1
sabahdan beri ev interneti hata veriyor. çünkü kimse ilgilenmedi.,0
Sistemde tanımlı olan adresinizi teyit eder misiniz?,1
dünden beri internetim ışıklar yanmıyor. ama böyle hizmet olmaz.,0
"iki gündür sorun yaşıyordum. işlemi başlatıyorum, bu yüzden gerçekten yardımcı oldunuz.",2
sabahdan beri wifi çalışmıyor. çünkü artık sabrım kalmadı.,0
bir saattir wifi hata veriyor. bu yüzden artık sabrım kalmadı.,0
"İyi günler Ahmet Hanım, teknik destekten arıyorum. sistemi kontrol ediyorum.",1
bir saattir wifi çalışmıyor. fakat böyle hizmet olmaz.,0
"bir saattir sorun yaşıyordum. işlemi başlatıyorum, ancak çok memnun kaldım.",2
"Merhaba Burcu efendim, fatura servisinden arıyorum. sistemi kontrol ediyorum.",1
"dünden beri sorun yaşıyordum. kaydınızı oluşturuyorum, bu yüzden çok memnun kaldım.",2
iki gündür bağlantım hata veriyor. ancak böyle hizmet olmaz.,0
"bir saattir sorun yaşıyordum. işlemi başlatıyorum, çünkü gerçekten yardımcı oldunuz.",2
"iki gündür sorun yaşıyordum. kaydınızı oluşturuyorum, ancak teşekkür ederim.",2
Mevcut kampanyanızı bir üst pakete taşıyabiliriz.,1
iki gundur internetim hata veriyor. bu yuzden boyle hizmet olmaz.,0
iki gündür internetim ışıklar yanmıyor. fakat artık sabrım kalmadı.,0
iki gündür bağlantım ışıklar yanmıyor. ama böyle hizmet olmaz.,0
"sabahdan beri sorun yaşıyordum. sistemi kontrol ediyorum, bu yüzden teşekkür ederim.",2
"sabahdan beri sorun yaşıyordum. kaydınızı oluşturuyorum, bu yüzden teşekkür ederim.",2
"İyi aksamlar Ceren Bey, altyapi biriminden ariyorum. kaydinizi olusturuyorum.",1
"bir saattir sorun yaşıyordum. sistemi kontrol ediyorum, ancak sorunum çözüldü.",2
"İşleminiz şu an onay bekliyor, lütfen hattan ayrılmayın.",1
"Merhaba Burcu Bey, fatura servisinden arıyorum. kaydınızı oluşturuyorum.",1
Talebinizi üst birime acil koduyla iletiyorum.,1
"İyi akşamlar Ayşe Bey, fatura servisinden arıyorum. sistemi kontrol ediyorum.",1
"İyi günler Emre Hanım, altyapı biriminden arıyorum. sistemi kontrol ediyorum.",1
"bir saattir sorun yaşıyordum. işlemi başlatıyorum, çünkü teşekkür ederim.",2
Güvenliğiniz için anne kızlık soyadınızın ikinci harfini alabilir miyim?,1
Güvenliğiniz için anne kızlık soyadınızın ikinci harfini alabilir miyim?,1
bir saattir fiber hat sürekli kopuyor. ancak gerçekten mağdur oldum.,0
"iki gündür sorun yaşıyordum. kaydınızı oluşturuyorum, bu yüzden sorunum çözüldü.",2
sabahdan beri fiber hat hata veriyor. bu yüzden artık sabrım kalmadı.,0
sabahdan beri wifi çalışmıyor. çünkü kimse ilgilenmedi.,0
sabahdan beri internetim sürekli kopuyor. çünkü gerçekten mağdur oldum.,0
"İyi akşamlar Fatma , müşteri hizmetlerinden arıyorum. kaydınızı oluşturuyorum.",1
"bir saattir sorun yaşıyordum. sistemi kontrol ediyorum, ancak teşekkür ederim.",2
"İşleminiz şu an onay bekliyor, lütfen hattan ayrılmayın.",1
"iki gündür sorun yaşıyordum. sistemi kontrol ediyorum, ama sorunum çözüldü.",2
"dünden beri sorun yasiyordum. sistemi kontrol ediyorum, ancak cok memnun kaldim.",2
"dünden beri sorun yaşıyordum. işlemi başlatıyorum, fakat teşekkür ederim.",2
dünden beri wifi çalışmıyor. fakat gerçekten mağdur oldum.,0
sabahdan beri internetim sürekli kopuyor. bu yüzden kimse ilgilenmedi.,0
"dünden beri sorun yaşıyordum. kaydınızı oluşturuyorum, bu yüzden gerçekten yardımcı oldunuz.",2
"sabahdan beri sorun yaşiyordum. işlemi başlatiyorum, ama cok memnun kaldim.",2
iki gündür ev interneti sürekli kopuyor. ancak boyle hizmet olmaz.,0
Mevcut kampanyanızı bir üst pakete taşıyabiliriz.,1
Şu an hattınızda herhangi bir arıza kaydı görünmüyor.,1
"iki gündür sorun yaşıyordum. sistemi kontrol ediyorum, ancak çok memnun kaldım.",2
"İşleminiz şu an onay bekliyor, lütfen hattan ayrılmayın.",1
"iki gündür sorun yaşıyordum. sistemi kontrol ediyorum, bu yüzden teşekkür ederim.",2
"bir saattir sorun yaşıyordum. sistemi kontrol ediyorum, ancak gerçekten yardımcı oldunuz.",2
Talebinizi ust birime acil koduyla iletiyorum.,1
Güvenliğiniz için anne kızlık soyadınızın ikinci harfini alabilir miyim?,1
"Günaydın Ayşe , altyapı biriminden arıyorum. sistemi kontrol ediyorum.",1
"İyi günler Mert Hanım, müşteri hizmetlerinden arıyorum. işlemi başlatıyorum.",1
Şu an hattınızda herhangi bir arıza kaydı görünmüyor.,1
"bir saattir sorun yaşıyordum. sistemi kontrol ediyorum, fakat çok memnun kaldım.",2
KVKK kapsamında onayınızı almam gerekiyor.,1
dünden beri bağlantım hata veriyor. ancak artık sabrım kalmadı.,0
iki gündür fiber hat hata veriyor. çünkü kimse ilgilenmedi.,0
"bir saattir sorun yaşıyordum. sistemi kontrol ediyorum, fakat gerçekten yardımcı oldunuz.",2
sabahdan beri wifi çok yavaş. fakat böyle hizmet olmaz.,0
bir saattir wifi ışıklar yanmıyor. bu yüzden böyle hizmet olmaz.,0
"dünden beri sorun yaşıyordum. sistemi kontrol ediyorum, ama sorunum çözüldü.",2
"bir saattir sorun yaşıyordum. sistemi kontrol ediyorum, fakat sorunum çözüldü.",2
"iki gündür sorun yaşıyordum. işlemi başlatıyorum, ancak teşekkür ederim.",2
bir saattir wifi sürekli kopuyor. fakat artık sabrım kalmadı.,0
"bir saattir sorun yaşıyordum. sistemi kontrol ediyorum, bu yüzden teşekkür ederim.",2
"Merhabalar Selin , müşteri hizmetlerinden arıyorum. kaydınızı oluşturuyorum.",1
"sabahdan beri sorun yaşıyordum. sistemi kontrol ediyorum, çünkü teşekkür ederim.",2
"Selamlar Ceren Hanım, teknik destekten arıyorum. işlemi başlatıyorum.",1
"bir saattir sorun yaşıyordum. sistemi kontrol ediyorum, ama çok memnun kaldım.",2
"İyi günler Burcu , altyapı biriminden arıyorum. sistemi kontrol ediyorum.",1
KVKK kapsamında onayınızı almam gerekiyor.,1
KVKK kapsamında onayınızı almam gerekiyor.,1
"bir saattir sorun yaşıyordum. kaydınızı oluşturuyorum, ama teşekkür ederim.",2
sabahdan beri bağlantım çok yavaş. çünkü gerçekten mağdur oldum.,0
"sabahdan beri sorun yaşıyordum. işlemi başlatıyorum, fakat teşekkür ederim.",2
dünden beri fiber hat sürekli kopuyor. fakat böyle hizmet olmaz.,0
sabahdan beri wifi hata veriyor. bu yuzden artik sabrim kalmadi.,0
sabahdan beri modem sürekli kopuyor. ancak artık sabrım kalmadı.,0
"dünden beri sorun yaşıyordum. sistemi kontrol ediyorum, ancak teşekkür ederim.",2
"bir saattir sorun yaşıyordum. sistemi kontrol ediyorum, ama sorunum çözüldü.",2
"sabahdan beri sorun yaşıyordum. sistemi kontrol ediyorum, çünkü teşekkür ederim.",2
sabahdan beri internetim çok yavas. ama böyle hizmet olmaz.,0
"dünden beri sorun yaşıyordum. sistemi kontrol ediyorum, fakat teşekkür ederim.",2
"İyi akşamlar Emre Hanım, altyapı biriminden arıyorum. kaydınızı oluşturuyorum.",1
"dünden beri sorun yaşıyordum. işlemi başlatıyorum, ama çok memnun kaldım.",2
"bir saattir sorun yaşıyordum. kaydınızı oluşturuyorum, ama gerçekten yardımcı oldunuz.",2
sabahdan beri fiber hat sürekli kopuyor. bu yüzden gerçekten mağdur oldum.,0
dünden beri internetim sürekli kopuyor. bu yüzden böyle hizmet olmaz.,0
iki gündür modem çok yavaş. ama böyle hizmet olmaz.,0
"iki gündür sorun yaşıyordum. sistemi kontrol ediyorum, bu yüzden sorunum çözüldü.",2
"dünden beri sorun yaşıyordum. kaydınızı oluşturuyorum, cünkü sorunum cozüldü.",2
bir saattir internetim sürekli kopuyor. fakat böyle hizmet olmaz.,0
sabahdan beri fiber hat calısmıyor. fakat kimse ilgilenmedi.,0
sabahdan beri fiber hat çalışmıyor. ancak kimse ilgilenmedi.,0
"bir saattir sorun yaşıyordum. sistemi kontrol ediyorum, ama sorunum çözüldü.",2
iki gündür wifi hata veriyor. çünkü böyle hizmet olmaz.,0
"bir saattir sorun yasıyordum. sistemi kontrol ediyorum, bu yuzden çok memnun kaldım.",2
iki gündür internetim sürekli kopuyor. bu yüzden kimse ilgilenmedi.,0
Güvenliğiniz için anne kızlık soyadınızın ikinci harfini alabilir miyim?,1
"iki gündür sorun yaşıyordum. işlemi başlatıyorum, ama teşekkür ederim.",2
"bir saattir sorun yaşıyordum. sistemi kontrol ediyorum, bu yüzden gerçekten yardımcı oldunuz.",2
dünden beri modem ışıklar yanmıyor. ancak artık sabrım kalmadı.,0
sabahdan beri fiber hat çok yavaş. ancak gerçekten mağdur oldum.,0
Sistemde tanımlı olan adresinizi teyit eder misiniz?,1
"Gunaydin Can Hanim, fatura servisinden ariyorum. işlemi başlatiyorum.",1
"dünden beri sorun yaşıyordum. kaydınızı oluşturuyorum, ama çok memnun kaldım.",2
"bir saattir sorun yaşıyordum. kaydınızı oluşturuyorum, ancak çok memnun kaldım.",2
"sabahdan beri sorun yaşıyordum. sistemi kontrol ediyorum, ama sorunum çözüldü.",2
"iki gündür sorun yaşıyordum. kaydınızı oluşturuyorum, çünkü gerçekten yardımcı oldunuz.",2
"bir saattir sorun yaşıyordum. işlemi başlatıyorum, çünkü çok memnun kaldım.",2
"sabahdan beri sorun yasiyordum. islemi baslatiyorum, fakat gercekten yardimci oldunuz.",2
sabahdan beri ev interneti çok yavaş. bu yüzden böyle hizmet olmaz.,0
iki gündür wifi ışıklar yanmıyor. ama kimse ilgilenmedi.,0
Mevcut kampanyanızı bir üst pakete taşıyabiliriz.,1
"dünden beri sorun yaşıyordum. sistemi kontrol ediyorum, fakat gerçekten yardımcı oldunuz.",2
sabahdan beri internetim sürekli kopuyor. bu yüzden kimse ilgilenmedi.,0
iki gündür fiber hat çok yavaş. çünkü kimse ilgilenmedi.,0
"iki gundur sorun yasiyordum. sistemi kontrol ediyorum, çunku gerçekten yardimci oldunuz.",2
Sistemde tanimli olan adresinizi teyit eder misiniz?,1
sabahdan beri internetim çok yavaş. ama böyle hizmet olmaz.,0
bir saattir fiber hat cok yavaş. ancak kimse ilgilenmedi.,0
bir saattir bağlantım surekli kopuyor. cunku boyle hizmet olmaz.,0
Talebinizi üst birime acil koduyla iletiyorum.,1
"iki gündür sorun yaşıyordum. işlemi başlatıyorum, fakat teşekkür ederim.",2
dünden beri bağlantim hata veriyor. ama kimse ilgilenmedi.,0
Mevcut kampanyanızı bir üst pakete taşıyabiliriz.,1
"sabahdan beri sorun yaşıyordum. sistemi kontrol ediyorum, ancak çok memnun kaldım.",2
"İyi çalışmalar Elif , teknik destekten arıyorum. sistemi kontrol ediyorum.",1
"İşleminiz şu an onay bekliyor, lütfen hattan ayrılmayın.",1
"bir saattir sorun yaşıyordum. sistemi kontrol ediyorum, ancak çok memnun kaldım.",2
"sabahdan beri sorun yaşıyordum. sistemi kontrol ediyorum, bu yüzden çok memnun kaldım.",2
"Günaydın Ceren , müşteri hizmetlerinden arıyorum. kaydınızı oluşturuyorum.",1
"iki gündür sorun yaşıyordum. kaydınızı oluşturuyorum, çünkü sorunum çözüldü.",2
Sistemde tanimli olan adresinizi teyit eder misiniz?,1
"dünden beri sorun yaşıyordum. sistemi kontrol ediyorum, fakat teşekkür ederim.",2
Sistemde tanımlı olan adresinizi teyit eder misiniz?,1
"Günaydın Burcu efendim, altyapı biriminden arıyorum. kaydınızı oluşturuyorum.",1
"dünden beri sorun yaşıyordum. sistemi kontrol ediyorum, çünkü teşekkür ederim.",2
bir saattir bağlantım çok yavaş. çünkü böyle hizmet olmaz.,0
iki gündür wifi sürekli kopuyor. ancak artık sabrım kalmadı.,0
sabahdan beri wifi çalışmıyor. ancak artık sabrım kalmadı.,0
"bir saattir sorun yaşıyordum. işlemi başlatıyorum, bu yüzden gerçekten yardımcı oldunuz.",2
"bir saattir sorun yaşıyordum. sistemi kontrol ediyorum, çünkü gerçekten yardımcı oldunuz.",2
"dünden beri sorun yaşıyordum. kaydınızı oluşturuyorum, çünkü çok memnun kaldım.",2
iki gundur ev interneti ışıklar yanmıyor. çunku gerçekten mağdur oldum.,0
"İşleminiz şu an onay bekliyor, lütfen hattan ayrılmayın.",1
"İyi gunler Can Hanim, musteri hizmetlerinden ariyorum. kaydinizi olusturuyorum.",1
Mevcut kampanyanızı bir üst pakete taşıyabiliriz.,1
Güvenliğiniz için anne kızlık soyadınızın ikinci harfini alabilir miyim?,1
dünden beri modem çalışmıyor. ancak gerçekten mağdur oldum.,0
"İyi çalışmalar Mert , fatura servisinden arıyorum. kaydınızı oluşturuyorum.",1
KVKK kapsamında onayınızı almam gerekiyor.,1
iki gündür modem çok yavaş. ama böyle hizmet olmaz.,0
sabahdan beri wifi çalismiyor. çünkü artik sabrim kalmadi.,0
"sabahdan beri sorun yaşıyordum. işlemi başlatıyorum, ama gerçekten yardımcı oldunuz.",2
iki gündür bağlantım ışıklar yanmıyor. fakat artık sabrım kalmadı.,0
"dünden beri sorun yaşıyordum. işlemi başlatıyorum, çünkü teşekkür ederim.",2
dünden beri modem çok yavaş. bu yüzden böyle hizmet olmaz.,0
"Merhaba Emre efendim, müşteri hizmetlerinden arıyorum. kaydınızı oluşturuyorum.",1
dünden beri wifi çok yavaş. bu yüzden artık sabrım kalmadı.,0
bir saattir bağlantım çalışmıyor. ancak gerçekten mağdur oldum.,0
"Merhabalar Can Bey, altyapı biriminden arıyorum. kaydınızı oluşturuyorum.",1
"bir saattir sorun yaşıyordum. kaydınızı oluşturuyorum, ama çok memnun kaldım.",2
bir saattir modem çalişmiyor. çünkü boyle hizmet olmaz.,0
"bir saattir sorun yaşıyordum. sistemi kontrol ediyorum, çünkü sorunum çözüldü.",2
"sabahdan beri sorun yaşıyordum. işlemi başlatıyorum, fakat teşekkür ederim.",2
iki gündür fiber hat hata veriyor. çünkü böyle hizmet olmaz.,0
"iki gündür sorun yaşıyordum. sistemi kontrol ediyorum, ancak teşekkür ederim.",2
Mevcut kampanyanızı bir üst pakete taşıyabiliriz.,1
Güvenliğiniz için anne kızlık soyadınızın ikinci harfini alabilir miyim?,1
"bir saattir sorun yaşıyordum. sistemi kontrol ediyorum, cünkü teşekkür ederim.",2
dünden beri bağlantım çok yavaş. çünkü kimse ilgilenmedi.,0
"bir saattir sorun yaşıyordum. işlemi başlatıyorum, bu yüzden sorunum çözüldü.",2
"İyi günler Ahmet , teknik destekten arıyorum. kaydınızı oluşturuyorum.",1
"Merhaba Fatma , altyapı biriminden arıyorum. işlemi başlatıyorum.",1
"bir saattir sorun yaşıyordum. işlemi başlatıyorum, bu yüzden gerçekten yardımcı oldunuz.",2
dünden beri modem ışıklar yanmıyor. ama kimse ilgilenmedi.,0
Sistemde tanımlı olan adresinizi teyit eder misiniz?,1
"bir saattir sorun yaşıyordum. sistemi kontrol ediyorum, ancak sorunum çözüldü.",2
iki gündür fiber hat çalışmıyor. ancak gerçekten mağdur oldum.,0
sabahdan beri ev interneti hata veriyor. çunku gerçekten magdur oldum.,0
"bir saattir sorun yaşıyordum. kaydınızı oluşturuyorum, bu yüzden teşekkür ederim.",2
"sabahdan beri sorun yaşıyordum. sistemi kontrol ediyorum, ama gerçekten yardımcı oldunuz.",2
"bir saattir sorun yaşıyordum. kaydınızı oluşturuyorum, çünkü sorunum çözüldü.",2
"sabahdan beri sorun yaşıyordum. işlemi başlatıyorum, fakat çok memnun kaldım.",2
Mevcut kampanyanızı bir üst pakete taşıyabiliriz.,1
Talebinizi üst birime acil koduyla iletiyorum.,1
"dünden beri sorun yaşıyordum. sistemi kontrol ediyorum, ancak gerçekten yardımcı oldunuz.",2
bir saattir modem çalışmıyor. ama kimse ilgilenmedi.,0
"iki gündür sorun yaşıyordum. kaydınızı oluşturuyorum, bu yüzden teşekkür ederim.",2
dünden beri fiber hat işiklar yanmiyor. çünkü kimse ilgilenmedi.,0
"sabahdan beri sorun yaşıyordum. işlemi başlatıyorum, ancak sorunum çözüldü.",2
"bir saattir sorun yaşıyordum. sistemi kontrol ediyorum, ancak çok memnun kaldım.",2
"dünden beri sorun yaşıyordum. kaydınızı oluşturuyorum, ancak gerçekten yardımcı oldunuz.",2
sabahdan beri ev interneti sürekli kopuyor. ama artık sabrım kalmadı.,0
sabahdan beri wifi çalışmıyor. ama böyle hizmet olmaz.,0
iki gündür modem calismiyor. ancak boyle hizmet olmaz.,0
Talebinizi üst birime acil koduyla iletiyorum.,1
Talebinizi üst birime acil koduyla iletiyorum.,1
"dünden beri sorun yaşıyordum. işlemi başlatıyorum, ancak teşekkür ederim.",2
"bir saattir sorun yaşiyordum. kaydinizi oluşturuyorum, ama sorunum çözüldü.",2
iki gündür ev interneti hata veriyor. ancak böyle hizmet olmaz.,0
"İyi akşamlar Zeynep efendim, fatura servisinden arıyorum. kaydınızı oluşturuyorum.",1
Güvenliğiniz için anne kızlık soyadınızın ikinci harfini alabilir miyim?,1
"sabahdan beri sorun yaşıyordum. işlemi başlatıyorum, fakat gerçekten yardımcı oldunuz.",2
"iki gündür sorun yaşıyordum. sistemi kontrol ediyorum, çünkü sorunum çözüldü.",2
"bir saattir sorun yasiyordum. kaydinizi olusturuyorum, ancak gercekten yardimci oldunuz.",2
