review,label
Siparişim 10 gündür kargoya verilmedi.,negatif
"Kesinlikle tekrar alışveriş yaparım, hizmet kalitesi sağlam.",pozitif
Cihaz beklediğimden çok daha nazik çıktı.,pozitif
Sorunum profesyonel bir şekilde halledildi.,pozitif
Sorunum hızlıca bir şekilde halledildi.,pozitif
Siparişim 10 gündür kargoya verilmedi.,negatif
"Uygulama sürekli bağlantı veriyor, kullanamıyorum.",negatif
"Kesinlikle tavsiye ederim, hizmet kalitesi nazik.",pozitif
Siparişim 15 gündür kargoya verilmedi.,negatif
"Kurye konuşma tarzı çok kalitesiz, hiç memnun kalmadım.",negatif
"Kargom aynı gün içinde elime ulaştı, teşekkürler.",pozitif
Destek ekibi çözüm sürecinde çok sağlam davrandı.,pozitif
"Uygulama sürekli bağlantı veriyor, kullanamıyorum.",negatif
Cihaz beklediğimden çok daha kaliteli çıktı.,pozitif
Telefon beklediğimden çok daha kaliteli çıktı.,pozitif
"Uygulama sürekli sunucu veriyor, kullanamıyorum.",negatif
"Uygulama sürekli sistem veriyor, kullanamıyorum.",negatif
"Telefon tam bir hayal kırıklığı, çok kaba.",negatif
Destek ekibi çözüm sürecinde çok başarılı davrandı.,pozitif
"Para iadesi hakkında hala bir sonuç alamadım, mağduriyetim giderilmedi.",negatif
Müşteri temsilcisi çözüm sürecinde çok ilgili davrandı.,pozitif
"Uygulama sürekli sistem veriyor, kullanamıyorum.",negatif
"Kesinlikle öneririm, hizmet kalitesi hızlı.",pozitif
"Şikayetimden hala bir sonuç alamadım, mağduriyetim giderilmedi.",negatif
"Kulaklık tam bir hayal kırıklığı, çok kötü.",negatif
Sorunum profesyonel bir şekilde halledildi.,pozitif
"Telefon tam bir hayal kırıklığı, çok kalitesiz.",negatif
"Kargom çok kısa süre içinde elime ulaştı, teşekkürler.",pozitif
Sipariş beklediğimden çok daha sağlam çıktı.,pozitif
"Kargom aynı gün içinde elime ulaştı, teşekkürler.",pozitif
"Kargom aynı gün içinde elime ulaştı, teşekkürler.",pozitif
Siparişim 10 gündür kargoya verilmedi.,negatif
"Paket tam bir hayal kırıklığı, çok kalitesiz.",negatif
"Kargom çok kısa süre içinde elime ulaştı, teşekkürler.",pozitif
"Paket tam bir hayal kırıklığı, çok kaba.",negatif
"Kargom çok kısa süre içinde elime ulaştı, teşekkürler.",pozitif
"Telefon tam bir hayal kırıklığı, çok kaba.",negatif
"Cihaz tam bir hayal kırıklığı, çok eksik.",negatif
Görevli çözüm sürecinde çok nazik davrandı.,pozitif
Cihaz beklediğimden çok daha nazik çıktı.,pozitif
Siparişim bir haftadır gündür kargoya verilmedi.,negatif
Siparişim bir haftadır gündür kargoya verilmedi.,negatif
Telefon beklediğimden çok daha hızlı çıktı.,pozitif
"Uygulama sürekli sunucu veriyor, kullanamıyorum.",negatif
"Müşteri temsilcisi konuşma tarzı çok defolu, hiç memnun kalmadım.",negatif
Görevli çözüm sürecinde çok başarılı davrandı.,pozitif
"Paket tam bir hayal kırıklığı, çok yavaş.",negatif
"Destek ekibi konuşma tarzı çok kalitesiz, hiç memnun kalmadım.",negatif
Siparişim 10 gündür kargoya verilmedi.,negatif
Ürün beklediğimden çok daha hızlı çıktı.,pozitif
Ürün beklediğimden çok daha hızlı çıktı.,pozitif
"Kesinlikle tavsiye ederim, hizmet kalitesi nazik.",pozitif
"Kurye konuşma tarzı çok eksik, hiç memnun kalmadım.",negatif
Destek ekibi çözüm sürecinde çok sağlam davrandı.,pozitif
"Kargom 24 saat içinde elime ulaştı, teşekkürler.",pozitif
"Kurye konuşma tarzı çok kaba, hiç memnun kalmadım.",negatif
"Müşteri temsilcisi konuşma tarzı çok defolu, hiç memnun kalmadım.",negatif
"İade talebimden hala bir sonuç alamadım, mağduriyetim giderilmedi.",negatif
Ürün beklediğimden çok daha sağlam çıktı.,pozitif
"Uygulama sürekli bağlantı veriyor, kullanamıyorum.",negatif
Paket beklediğimden çok daha sağlam çıktı.,pozitif
"Para iadesi hakkında hala bir sonuç alamadım, mağduriyetim giderilmedi.",negatif
"Şikayetimden hala bir sonuç alamadım, mağduriyetim giderilmedi.",negatif
Destek ekibi çözüm sürecinde çok kaliteli davrandı.,pozitif
"Kesinlikle öneririm, hizmet kalitesi kaliteli.",pozitif
Sorunum profesyonel bir şekilde halledildi.,pozitif
Destek ekibi çözüm sürecinde çok sağlam davrandı.,pozitif
Sorunum anında bir şekilde halledildi.,pozitif
Siparişim 10 gündür kargoya verilmedi.,negatif
"Kesinlikle öneririm, hizmet kalitesi hızlı.",pozitif
"Kargom 24 saat içinde elime ulaştı, teşekkürler.",pozitif
"İade talebimden hala bir sonuç alamadım, mağduriyetim giderilmedi.",negatif
"Destek ekibi konuşma tarzı çok kalitesiz, hiç memnun kalmadım.",negatif
Siparişim bir haftadır gündür kargoya verilmedi.,negatif
Siparişim 15 gündür kargoya verilmedi.,negatif
Ürün beklediğimden çok daha kaliteli çıktı.,pozitif
"Kesinlikle tekrar alışveriş yaparım, hizmet kalitesi ilgili.",pozitif
Sorunum anında bir şekilde halledildi.,pozitif
Sipariş beklediğimden çok daha sağlam çıktı.,pozitif
Siparişim 15 gündür kargoya verilmedi.,negatif
"Kargom çok kısa süre içinde elime ulaştı, teşekkürler.",pozitif
Kulaklık beklediğimden çok daha ilgili çıktı.,pozitif
Cihaz beklediğimden çok daha sağlam çıktı.,pozitif
Siparişim 15 gündür kargoya verilmedi.,negatif
"Paket tam bir hayal kırıklığı, çok kaba.",negatif
"Kargom 24 saat içinde elime ulaştı, teşekkürler.",pozitif
Müşteri temsilcisi çözüm sürecinde çok kaliteli davrandı.,pozitif
"Kargom aynı gün içinde elime ulaştı, teşekkürler.",pozitif
"Paket tam bir hayal kırıklığı, çok defolu.",negatif
"Para iadesi hakkında hala bir sonuç alamadım, mağduriyetim giderilmedi.",negatif
"Uygulama sürekli bağlantı veriyor, kullanamıyorum.",negatif
"Kargom 24 saat içinde elime ulaştı, teşekkürler.",pozitif
"Şikayetimden hala bir sonuç alamadım, mağduriyetim giderilmedi.",negatif
"Uygulama sürekli sistem veriyor, kullanamıyorum.",negatif
"Görevli konuşma tarzı çok defolu, hiç memnun kalmadım.",negatif
"Kurye konuşma tarzı çok kötü, hiç memnun kalmadım.",negatif
"Şikayetimden hala bir sonuç alamadım, mağduriyetim giderilmedi.",negatif
Siparişim 10 gündür kargoya verilmedi.,negatif
"İade talebimden hala bir sonuç alamadım, mağduriyetim giderilmedi.",negatif
Siparişim 10 gündür kargoya verilmedi.,negatif
Sipariş beklediğimden çok daha nazik çıktı.,pozitif
"Para iadesi hakkında hala bir sonuç alamadım, mağduriyetim giderilmedi.",negatif
Cihaz beklediğimden çok daha ilgili çıktı.,pozitif
Paket beklediğimden çok daha hızlı çıktı.,pozitif
Sorunum profesyonel bir şekilde halledildi.,pozitif
Sorunum profesyonel bir şekilde halledildi.,pozitif
Cihaz beklediğimden çok daha başarılı çıktı.,pozitif
"Uygulama sürekli bağlantı veriyor, kullanamıyorum.",negatif
"Destek ekibi konuşma tarzı çok kaba, hiç memnun kalmadım.",negatif
"Uygulama sürekli sunucu veriyor, kullanamıyorum.",negatif
"Uygulama sürekli sistem veriyor, kullanamıyorum.",negatif
Kurye çözüm sürecinde çok ilgili davrandı.,pozitif
"Kargom çok kısa süre içinde elime ulaştı, teşekkürler.",pozitif
"Para iadesi hakkında hala bir sonuç alamadım, mağduriyetim giderilmedi.",negatif
"Uygulama sürekli bağlantı veriyor, kullanamıyorum.",negatif
Paket beklediğimden çok daha sağlam çıktı.,pozitif
Siparişim bir haftadır gündür kargoya verilmedi.,negatif
Destek ekibi çözüm sürecinde çok sağlam davrandı.,pozitif
Sorunum hızlıca bir şekilde halledildi.,pozitif
Sorunum profesyonel bir şekilde halledildi.,pozitif
"Uygulama sürekli sistem veriyor, kullanamıyorum.",negatif
Müşteri temsilcisi çözüm sürecinde çok hızlı davrandı.,pozitif
"Görevli konuşma tarzı çok kalitesiz, hiç memnun kalmadım.",negatif
"Uygulama sürekli sunucu veriyor, kullanamıyorum.",negatif
"Sipariş tam bir hayal kırıklığı, çok defolu.",negatif
Sipariş beklediğimden çok daha ilgili çıktı.,pozitif
Sorunum profesyonel bir şekilde halledildi.,pozitif
Sorunum anında bir şekilde halledildi.,pozitif
Cihaz beklediğimden çok daha sağlam çıktı.,pozitif
"Görevli konuşma tarzı çok eksik, hiç memnun kalmadım.",negatif
"Kulaklık tam bir hayal kırıklığı, çok kötü.",negatif
"Kargom çok kısa süre içinde elime ulaştı, teşekkürler.",pozitif
"Kargom çok kısa süre içinde elime ulaştı, teşekkürler.",pozitif
Müşteri temsilcisi çözüm sürecinde çok ilgili davrandı.,pozitif
Siparişim 15 gündür kargoya verilmedi.,negatif
Siparişim bir haftadır gündür kargoya verilmedi.,negatif
Kulaklık beklediğimden çok daha nazik çıktı.,pozitif
"Destek ekibi konuşma tarzı çok yavaş, hiç memnun kalmadım.",negatif
Görevli çözüm sürecinde çok ilgili davrandı.,pozitif
Telefon beklediğimden çok daha sağlam çıktı.,pozitif
"Görevli konuşma tarzı çok eksik, hiç memnun kalmadım.",negatif
"Telefon tam bir hayal kırıklığı, çok kaba.",negatif
"Destek ekibi konuşma tarzı çok kalitesiz, hiç memnun kalmadım.",negatif
"Paket tam bir hayal kırıklığı, çok yavaş.",negatif
Kurye çözüm sürecinde çok nazik davrandı.,pozitif
Siparişim 15 gündür kargoya verilmedi.,negatif
"Sipariş tam bir hayal kırıklığı, çok defolu.",negatif
Siparişim bir haftadır gündür kargoya verilmedi.,negatif
"İade talebimden hala bir sonuç alamadım, mağduriyetim giderilmedi.",negatif
Siparişim 10 gündür kargoya verilmedi.,negatif
"Telefon tam bir hayal kırıklığı, çok kaba.",negatif
Sorunum anında bir şekilde halledildi.,pozitif
"Kesinlikle tekrar alışveriş yaparım, hizmet kalitesi nazik.",pozitif
Destek ekibi çözüm sürecinde çok başarılı davrandı.,pozitif
"Kargom çok kısa süre içinde elime ulaştı, teşekkürler.",pozitif
"Kesinlikle öneririm, hizmet kalitesi ilgili.",pozitif
"Destek ekibi konuşma tarzı çok eksik, hiç memnun kalmadım.",negatif
"Destek ekibi konuşma tarzı çok defolu, hiç memnun kalmadım.",negatif
"Cihaz tam bir hayal kırıklığı, çok eksik.",negatif
"Cihaz tam bir hayal kırıklığı, çok yavaş.",negatif
"Uygulama sürekli ödeme veriyor, kullanamıyorum.",negatif
"Kesinlikle öneririm, hizmet kalitesi ilgili.",pozitif
Sorunum hızlıca bir şekilde halledildi.,pozitif
Görevli çözüm sürecinde çok kaliteli davrandı.,pozitif
"Uygulama sürekli sistem veriyor, kullanamıyorum.",negatif
"Kesinlikle öneririm, hizmet kalitesi başarılı.",pozitif
Kulaklık beklediğimden çok daha hızlı çıktı.,pozitif
Sorunum profesyonel bir şekilde halledildi.,pozitif
"Kesinlikle öneririm, hizmet kalitesi başarılı.",pozitif
"Kesinlikle öneririm, hizmet kalitesi hızlı.",pozitif
Siparişim 15 gündür kargoya verilmedi.,negatif
"Görevli konuşma tarzı çok defolu, hiç memnun kalmadım.",negatif
Görevli çözüm sürecinde çok sağlam davrandı.,pozitif
"Şikayetimden hala bir sonuç alamadım, mağduriyetim giderilmedi.",negatif
"Şikayetimden hala bir sonuç alamadım, mağduriyetim giderilmedi.",negatif
"Kargom 24 saat içinde elime ulaştı, teşekkürler.",pozitif
"Cihaz tam bir hayal kırıklığı, çok eksik.",negatif
Sipariş beklediğimden çok daha başarılı çıktı.,pozitif
"Kesinlikle tavsiye ederim, hizmet kalitesi kaliteli.",pozitif
"Şikayetimden hala bir sonuç alamadım, mağduriyetim giderilmedi.",negatif
Siparişim 15 gündür kargoya verilmedi.,negatif
"Uygulama sürekli sunucu veriyor, kullanamıyorum.",negatif
"Kargom 24 saat içinde elime ulaştı, teşekkürler.",pozitif
"Para iadesi hakkında hala bir sonuç alamadım, mağduriyetim giderilmedi.",negatif
"Para iadesi hakkında hala bir sonuç alamadım, mağduriyetim giderilmedi.",negatif
Siparişim bir haftadır gündür kargoya verilmedi.,negatif
Görevli çözüm sürecinde çok hızlı davrandı.,pozitif
Siparişim bir haftadır gündür kargoya verilmedi.,negatif
Siparişim bir haftadır gündür kargoya verilmedi.,negatif
"Kargom 24 saat içinde elime ulaştı, teşekkürler.",pozitif
"Kesinlikle tavsiye ederim, hizmet kalitesi başarılı.",pozitif
Sorunum hızlıca bir şekilde halledildi.,pozitif
"Ürün tam bir hayal kırıklığı, çok yavaş.",negatif
"Kesinlikle tekrar alışveriş yaparım, hizmet kalitesi ilgili.",pozitif
Sipariş beklediğimden çok daha başarılı çıktı.,pozitif
"Ürün tam bir hayal kırıklığı, çok defolu.",negatif
"Uygulama sürekli sunucu veriyor, kullanamıyorum.",negatif
"Sipariş tam bir hayal kırıklığı, çok eksik.",negatif
Destek ekibi çözüm sürecinde çok nazik davrandı.,pozitif
"Cihaz tam bir hayal kırıklığı, çok kötü.",negatif
Sorunum profesyonel bir şekilde halledildi.,pozitif
"Kesinlikle öneririm, hizmet kalitesi kaliteli.",pozitif
Sorunum anında bir şekilde halledildi.,pozitif
"Kurye konuşma tarzı çok kalitesiz, hiç memnun kalmadım.",negatif
Kurye çözüm sürecinde çok ilgili davrandı.,pozitif
Sorunum profesyonel bir şekilde halledildi.,pozitif
"Şikayetimden hala bir sonuç alamadım, mağduriyetim giderilmedi.",negatif
"Uygulama sürekli ödeme veriyor, kullanamıyorum.",negatif
Kulaklık beklediğimden çok daha hızlı çıktı.,pozitif
"Kulaklık tam bir hayal kırıklığı, çok defolu.",negatif
"Kesinlikle öneririm, hizmet kalitesi ilgili.",pozitif
"Kargom çok kısa süre içinde elime ulaştı, teşekkürler.",pozitif
"Destek ekibi konuşma tarzı çok kaba, hiç memnun kalmadım.",negatif
Siparişim bir haftadır gündür kargoya verilmedi.,negatif
Kurye çözüm sürecinde çok hızlı davrandı.,pozitif
"Para iadesi hakkında hala bir sonuç alamadım, mağduriyetim giderilmedi.",negatif
Ürün beklediğimden çok daha başarılı çıktı.,pozitif
"Müşteri temsilcisi konuşma tarzı çok eksik, hiç memnun kalmadım.",negatif
"Kurye konuşma tarzı çok eksik, hiç memnun kalmadım.",negatif
Ürün beklediğimden çok daha ilgili çıktı.,pozitif
"Uygulama sürekli sistem veriyor, kullanamıyorum.",negatif
Siparişim 15 gündür kargoya verilmedi.,negatif
Siparişim bir haftadır gündür kargoya verilmedi.,negatif
"Kargom aynı gün içinde elime ulaştı, teşekkürler.",pozitif
Sorunum hızlıca bir şekilde halledildi.,pozitif
"Müşteri temsilcisi konuşma tarzı çok defolu, hiç memnun kalmadım.",negatif
"Kargom çok kısa süre içinde elime ulaştı, teşekkürler.",pozitif
Görevli çözüm sürecinde çok kaliteli davrandı.,pozitif
"Kesinlikle öneririm, hizmet kalitesi hızlı.",pozitif
"Uygulama sürekli sistem veriyor, kullanamıyorum.",negatif
"Uygulama sürekli ödeme veriyor, kullanamıyorum.",negatif
Siparişim 15 gündür kargoya verilmedi.,negatif
"Kesinlikle öneririm, hizmet kalitesi kaliteli.",pozitif
"Kulaklık tam bir hayal kırıklığı, çok yavaş.",negatif
"Kargom çok kısa süre içinde elime ulaştı, teşekkürler.",pozitif
Siparişim bir haftadır gündür kargoya verilmedi.,negatif
Müşteri temsilcisi çözüm sürecinde çok sağlam davrandı.,pozitif
Siparişim bir haftadır gündür kargoya verilmedi.,negatif
"Ürün tam bir hayal kırıklığı, çok defolu.",negatif
"Para iadesi hakkında hala bir sonuç alamadım, mağduriyetim giderilmedi.",negatif
"Müşteri temsilcisi konuşma tarzı çok yavaş, hiç memnun kalmadım.",negatif
Sorunum anında bir şekilde halledildi.,pozitif
"Kesinlikle tavsiye ederim, hizmet kalitesi kaliteli.",pozitif
"Kesinlikle öneririm, hizmet kalitesi nazik.",pozitif
"Kesinlikle tavsiye ederim, hizmet kalitesi hızlı.",pozitif
Destek ekibi çözüm sürecinde çok hızlı davrandı.,pozitif
Cihaz beklediğimden çok daha ilgili çıktı.,pozitif
"Uygulama sürekli sunucu veriyor, kullanamıyorum.",negatif
"Kargom 24 saat içinde elime ulaştı, teşekkürler.",pozitif
"Ürün tam bir hayal kırıklığı, çok yavaş.",negatif
Sorunum profesyonel bir şekilde halledildi.,pozitif
"Kesinlikle tavsiye ederim, hizmet kalitesi nazik.",pozitif
Sipariş beklediğimden çok daha nazik çıktı.,pozitif
Sorunum profesyonel bir şekilde halledildi.,pozitif
"Paket tam bir hayal kırıklığı, çok kötü.",negatif
"Kesinlikle tekrar alışveriş yaparım, hizmet kalitesi başarılı.",pozitif
"Paket tam bir hayal kırıklığı, çok defolu.",negatif
Kulaklık beklediğimden çok daha kaliteli çıktı.,pozitif
"Sipariş tam bir hayal kırıklığı, çok kötü.",negatif
Paket beklediğimden çok daha hızlı çıktı.,pozitif
Sorunum anında bir şekilde halledildi.,pozitif
"Kargom çok kısa süre içinde elime ulaştı, teşekkürler.",pozitif
Sorunum profesyonel bir şekilde halledildi.,pozitif
"Kargom çok kısa süre içinde elime ulaştı, teşekkürler.",pozitif
"Paket tam bir hayal kırıklığı, çok kaba.",negatif
"Kargom aynı gün içinde elime ulaştı, teşekkürler.",pozitif
Telefon beklediğimden çok daha kaliteli çıktı.,pozitif
Destek ekibi çözüm sürecinde çok ilgili davrandı.,pozitif
"Kargom çok kısa süre içinde elime ulaştı, teşekkürler.",pozitif
"Kesinlikle tavsiye ederim, hizmet kalitesi nazik.",pozitif
"Destek ekibi konuşma tarzı çok kaba, hiç memnun kalmadım.",negatif
"Destek ekibi konuşma tarzı çok kötü, hiç memnun kalmadım.",negatif
"Kargom çok kısa süre içinde elime ulaştı, teşekkürler.",pozitif
"Uygulama sürekli sunucu veriyor, kullanamıyorum.",negatif
"Müşteri temsilcisi konuşma tarzı çok kaba, hiç memnun kalmadım.",negatif
Destek ekibi çözüm sürecinde çok hızlı davrandı.,pozitif
Sipariş beklediğimden çok daha hızlı çıktı.,pozitif
"Uygulama sürekli ödeme veriyor, kullanamıyorum.",negatif
Müşteri temsilcisi çözüm sürecinde çok sağlam davrandı.,pozitif
Kurye çözüm sürecinde çok kaliteli davrandı.,pozitif
Siparişim 10 gündür kargoya verilmedi.,negatif
"Kesinlikle öneririm, hizmet kalitesi başarılı.",pozitif
Ürün beklediğimden çok daha kaliteli çıktı.,pozitif
"Telefon tam bir hayal kırıklığı, çok kalitesiz.",negatif
"Kargom 24 saat içinde elime ulaştı, teşekkürler.",pozitif
"İade talebimden hala bir sonuç alamadım, mağduriyetim giderilmedi.",negatif
"Uygulama sürekli sistem veriyor, kullanamıyorum.",negatif
Siparişim 10 gündür kargoya verilmedi.,negatif
"İade talebimden hala bir sonuç alamadım, mağduriyetim giderilmedi.",negatif
"İade talebimden hala bir sonuç alamadım, mağduriyetim giderilmedi.",negatif
"Şikayetimden hala bir sonuç alamadım, mağduriyetim giderilmedi.",negatif
"Para iadesi hakkında hala bir sonuç alamadım, mağduriyetim giderilmedi.",negatif
Sipariş beklediğimden çok daha nazik çıktı.,pozitif
Siparişim 10 gündür kargoya verilmedi.,negatif
Siparişim 10 gündür kargoya verilmedi.,negatif
Destek ekibi çözüm sürecinde çok ilgili davrandı.,pozitif
Sorunum profesyonel bir şekilde halledildi.,pozitif
Kulaklık beklediğimden çok daha sağlam çıktı.,pozitif
Telefon beklediğimden çok daha kaliteli çıktı.,pozitif
Telefon beklediğimden çok daha başarılı çıktı.,pozitif
"Para iadesi hakkında hala bir sonuç alamadım, mağduriyetim giderilmedi.",negatif
Sorunum profesyonel bir şekilde halledildi.,pozitif
Cihaz beklediğimden çok daha kaliteli çıktı.,pozitif
"Kargom çok kısa süre içinde elime ulaştı, teşekkürler.",pozitif
Siparişim 10 gündür kargoya verilmedi.,negatif
"Uygulama sürekli bağlantı veriyor, kullanamıyorum.",negatif
Siparişim 10 gündür kargoya verilmedi.,negatif
"Kargom çok kısa süre içinde elime ulaştı, teşekkürler.",pozitif
Kulaklık beklediğimden çok daha kaliteli çıktı.,pozitif
Sipariş beklediğimden çok daha kaliteli çıktı.,pozitif
Görevli çözüm sürecinde çok hızlı davrandı.,pozitif
"Para iadesi hakkında hala bir sonuç alamadım, mağduriyetim giderilmedi.",negatif
Destek ekibi çözüm sürecinde çok ilgili davrandı.,pozitif
Kurye çözüm sürecinde çok hızlı davrandı.,pozitif
"Uygulama sürekli bağlantı veriyor, kullanamıyorum.",negatif
Cihaz beklediğimden çok daha kaliteli çıktı.,pozitif
"Kargom aynı gün içinde elime ulaştı, teşekkürler.",pozitif
"Şikayetimden hala bir sonuç alamadım, mağduriyetim giderilmedi.",negatif
Siparişim 15 gündür kargoya verilmedi.,negatif
Cihaz beklediğimden çok daha başarılı çıktı.,pozitif
"Paket tam bir hayal kırıklığı, çok kötü.",negatif
"Sipariş tam bir hayal kırıklığı, çok kötü.",negatif
"Kargom çok kısa süre içinde elime ulaştı, teşekkürler.",pozitif
"Kargom çok kısa süre içinde elime ulaştı, teşekkürler.",pozitif
Cihaz beklediğimden çok daha kaliteli çıktı.,pozitif
Sorunum hızlıca bir şekilde halledildi.,pozitif
"Görevli konuşma tarzı çok defolu, hiç memnun kalmadım.",negatif
"Kargom 24 saat içinde elime ulaştı, teşekkürler.",pozitif
Sipariş beklediğimden çok daha hızlı çıktı.,pozitif
"Telefon tam bir hayal kırıklığı, çok kalitesiz.",negatif
Sorunum anında bir şekilde halledildi.,pozitif
"İade talebimden hala bir sonuç alamadım, mağduriyetim giderilmedi.",negatif
"Kurye konuşma tarzı çok yavaş, hiç memnun kalmadım.",negatif
Sorunum profesyonel bir şekilde halledildi.,pozitif
"Müşteri temsilcisi konuşma tarzı çok kalitesiz, hiç memnun kalmadım.",negatif
Telefon beklediğimden çok daha başarılı çıktı.,pozitif
Cihaz beklediğimden çok daha ilgili çıktı.,pozitif
"Uygulama sürekli sistem veriyor, kullanamıyorum.",negatif
Sorunum profesyonel bir şekilde halledildi.,pozitif
"Kesinlikle tavsiye ederim, hizmet kalitesi sağlam.",pozitif
Sorunum profesyonel bir şekilde halledildi.,pozitif
Kurye çözüm sürecinde çok başarılı davrandı.,pozitif
Siparişim 10 gündür kargoya verilmedi.,negatif
"Uygulama sürekli sunucu veriyor, kullanamıyorum.",negatif
Cihaz beklediğimden çok daha nazik çıktı.,pozitif
"Kargom çok kısa süre içinde elime ulaştı, teşekkürler.",pozitif
Sorunum anında bir şekilde halledildi.,pozitif
"Kesinlikle öneririm, hizmet kalitesi nazik.",pozitif
"İade talebimden hala bir sonuç alamadım, mağduriyetim giderilmedi.",negatif
"Para iadesi hakkında hala bir sonuç alamadım, mağduriyetim giderilmedi.",negatif
"Kargom aynı gün içinde elime ulaştı, teşekkürler.",pozitif
Paket beklediğimden çok daha başarılı çıktı.,pozitif
Siparişim bir haftadır gündür kargoya verilmedi.,negatif
"Paket tam bir hayal kırıklığı, çok kötü.",negatif
Sorunum anında bir şekilde halledildi.,pozitif
"Uygulama sürekli sunucu veriyor, kullanamıyorum.",negatif
"Ürün tam bir hayal kırıklığı, çok kaba.",negatif
Sorunum hızlıca bir şekilde halledildi.,pozitif
"Görevli konuşma tarzı çok kaba, hiç memnun kalmadım.",negatif
Cihaz beklediğimden çok daha kaliteli çıktı.,pozitif
"Kulaklık tam bir hayal kırıklığı, çok yavaş.",negatif
"Şikayetimden hala bir sonuç alamadım, mağduriyetim giderilmedi.",negatif
"Paket tam bir hayal kırıklığı, çok kötü.",negatif
"Kesinlikle tavsiye ederim, hizmet kalitesi sağlam.",pozitif
Siparişim bir haftadır gündür kargoya verilmedi.,negatif
"Uygulama sürekli sunucu veriyor, kullanamıyorum.",negatif
"İade talebimden hala bir sonuç alamadım, mağduriyetim giderilmedi.",negatif
"Kesinlikle tekrar alışveriş yaparım, hizmet kalitesi hızlı.",pozitif
Müşteri temsilcisi çözüm sürecinde çok sağlam davrandı.,pozitif
"Kesinlikle öneririm, hizmet kalitesi nazik.",pozitif
Sorunum profesyonel bir şekilde halledildi.,pozitif
Cihaz beklediğimden çok daha hızlı çıktı.,pozitif
Sipariş beklediğimden çok daha nazik çıktı.,pozitif
"Para iadesi hakkında hala bir sonuç alamadım, mağduriyetim giderilmedi.",negatif
"Görevli konuşma tarzı çok defolu, hiç memnun kalmadım.",negatif
Kulaklık beklediğimden çok daha ilgili çıktı.,pozitif
"Kurye konuşma tarzı çok yavaş, hiç memnun kalmadım.",negatif
Siparişim bir haftadır gündür kargoya verilmedi.,negatif
"Kulaklık tam bir hayal kırıklığı, çok kalitesiz.",negatif
Sorunum hızlıca bir şekilde halledildi.,pozitif
Müşteri temsilcisi çözüm sürecinde çok kaliteli davrandı.,pozitif
"Kesinlikle tavsiye ederim, hizmet kalitesi kaliteli.",pozitif
"Kargom çok kısa süre içinde elime ulaştı, teşekkürler.",pozitif
"Kesinlikle tavsiye ederim, hizmet kalitesi başarılı.",pozitif
"Uygulama sürekli ödeme veriyor, kullanamıyorum.",negatif
Siparişim 10 gündür kargoya verilmedi.,negatif
Ürün beklediğimden çok daha sağlam çıktı.,pozitif
Kulaklık beklediğimden çok daha sağlam çıktı.,pozitif
"Şikayetimden hala bir sonuç alamadım, mağduriyetim giderilmedi.",negatif
"Para iadesi hakkında hala bir sonuç alamadım, mağduriyetim giderilmedi.",negatif
"Kulaklık tam bir hayal kırıklığı, çok defolu.",negatif
Sorunum hızlıca bir şekilde halledildi.,pozitif
"Paket tam bir hayal kırıklığı, çok kötü.",negatif
"Destek ekibi konuşma tarzı çok defolu, hiç memnun kalmadım.",negatif
